t,x
0.0,1.247
0.101,0.63
0.201,0.184
0.302,-0.556
0.403,-0.837
0.503,-1.546
0.604,-1.8
0.705,-2.13
0.805,-2.407
0.906,-2.128
1.007,-2.441
1.107,-2.179
1.208,-1.847
1.309,-1.709
1.409,-1.003
1.51,-0.641
1.611,0.013
1.711,0.365
1.812,0.875
1.913,1.571
2.013,1.898
2.114,2.165
2.215,2.409
2.315,2.471
2.416,2.253
2.517,1.976
2.617,1.746
2.718,1.354
2.819,0.852
2.919,0.495
3.02,-0.036
3.121,-0.531
3.221,-1.022
3.322,-1.545
3.423,-1.919
3.523,-2.176
3.624,-2.461
3.725,-2.49
3.826,-2.349
3.926,-2.234
4.027,-1.927
4.128,-1.488
4.228,-0.876
4.329,-0.458
4.43,0.021
4.53,0.538
4.631,1.096
4.732,1.786
4.832,1.622
4.933,2.266
5.034,2.399
5.134,2.504
5.235,2.22
5.336,2.345
5.436,1.924
5.537,1.415
5.638,0.96
5.738,0.348
5.839,-0.121
5.94,-0.679
6.04,-1.076
6.141,-1.58
6.242,-1.987
6.342,-2.173
6.443,-2.332
6.544,-2.391
6.644,-2.468
6.745,-1.996
6.846,-1.892
6.946,-1.462
7.047,-0.888
7.148,-0.298
7.248,0.338
7.349,0.565
7.45,1.38
7.55,1.832
7.651,1.973
7.752,2.246
7.852,2.341
7.953,2.347
8.054,2.16
8.154,1.894
8.255,1.706
8.356,1.328
8.456,0.994
8.557,0.178
8.658,-0.477
8.758,-0.787
8.859,-1.34
8.96,-1.684
9.06,-2.097
9.161,-2.416
9.262,-2.475
9.362,-2.319
9.463,-2.243
9.564,-2.121
9.664,-1.588
9.765,-1.386
9.866,-0.797
9.966,-0.187
10.067,0.203
10.168,0.749
10.268,1.355
10.369,1.761
10.47,2.069
10.57,2.256
10.671,2.302
10.772,2.311
10.872,2.549
10.973,1.922
11.074,1.774
11.174,1.12
11.275,0.811
11.376,0.259
11.477,-0.365
11.577,-0.999
11.678,-1.55
11.779,-1.72
11.879,-2.257
11.98,-2.46
12.081,-2.264
12.181,-2.231
12.282,-2.213
12.383,-1.967
12.483,-1.636
12.584,-1.081
12.685,-0.654
12.785,-0.216
12.886,0.404
12.987,1.025
13.087,1.31
13.188,1.765
13.289,2.174
13.389,2.519
13.49,2.436
13.591,2.366
13.691,2.38
13.792,1.793
13.893,1.441
13.993,1.137
14.094,0.644
14.195,0.039
14.295,-0.812
14.396,-0.991
14.497,-1.459
14.597,-1.903
14.698,-2.126
14.799,-2.225
14.899,-2.413
15.0,-2.441
